Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.64194745, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, -0.01, 0.01
Ag, -286.99934026, Ag_ONCV_PBEsol-1.0.upf, 55, 220, 19.00, SG15, 0.00, 0.00
Al, -38.21671744, Al.pbesol-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, 0.00, 0.00
Am, -1124.97980661, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, -0.91, 3.02
Ar, -93.55116400, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120, 960, 8.00, 100PAW, -0.00, 0.00
As, -211.46047891, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75, 300, 15.00, Dojo, 0.00, 0.02
At, -220.01116493, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -0.00, 0.00
Au, -274.46461569, Au_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, 0.00, 0.00
Ba, -55.98960781, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35, 140, 10.00, Dojo, 0.00, 0.00
Be, -26.15838441, Be_ONCV_PBEsol-1.0.upf, 55, 220, 4.00, SG15, -0.00, 0.00
Bi, -184.66425285, bi_pbesol_v1.uspp.F.UPF, 50, 400, 15.00, GBRV-1.2, 0.00, 0.02
Bk, -1211.72222844, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 0.02, 2.21
B, -5.84241383, b_pbesol_v1.4.uspp.F.UPF, 55, 440, 3.00, GBRV-1.2, 0.01, 0.02
Br, -40.38120937, br_pbesol_v1.4.uspp.F.UPF, 90, 720, 7.00, GBRV-1.4, -0.00, 0.00
Ca, -74.77659484, ca_pbesol_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, -0.00, 0.00
Cd, -600.88057595, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100, 800, 20.00, 100PAW, -0.00, 0.00
Ce, -475.04752177, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.41, 1.57
Cf, -1259.43021857, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.07, 2.12
Cl, -34.34969779, Cl.pbesol-n-rrkjus_psl.1.0.0.UPF, 100, 800, 7.00, 100US, 0.01, 0.01
Cm, -4335.99571991, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, 0.00, 46.64
Co, -297.85871090, co_pbesol_v1.2.uspp.F.UPF, 90, 1080, 17.00, GBRV-1.2, 3.00, 3.00
C, -17.41990355, C.pbesol-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, -0.00, 0.00
