Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.87161214, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40.0, 320.0, 11.00, 100US, , 
Ag, -287.15359613, Ag_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 19.00, SG15, , 
Am, -1139.25388863, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60.0, 480.0, 17.00, MalteSachs, , 
Ar, -95.08107741, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120.0, 960.0, 8.00, 100PAW, , 
As, -211.79550028, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75.0, 300.0, 15.00, Dojo, , 
At, -220.34122747, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80.0, 640.0, 17.00, 100US, , 
Au, -274.44948468, Au_ONCV_PBE-1.0.oncvpsp.upf, 50.0, 200.0, 19.00, SG15, , 
Ba, -55.99583254, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35.0, 140.0, 10.00, Dojo, , 
Be, -26.31823632, Be_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 4.00, SG15, , 
Bk, -1226.64385386, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60.0, 480.0, 19.00, MalteSachs, , 
Cd, -606.12802750, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100.0, 800.0, 20.00, 100PAW, , 
Ce, -481.79431988, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50.0, 400.0, 12.00, Wentzcovitch, , 
Cf, -1274.67623877, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60.0, 480.0, 20.00, MalteSachs, , 
Cm, -1181.50380750, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60.0, 480.0, 18.00, MalteSachs, , 
Cs, -46.77780855, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45.0, 180.0, 9.00, Dojo, , 
Cu, -212.83347924, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90.0, 720.0, 11.00, 100PAW-low, , 
Dy, -776.92114153, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 20.00, Wentzcovitch, , 
