Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.87234673, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, -0.00, 0.01
Ag, -287.15354676, Ag_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 19.00, SG15, 0.00, 0.00
Al, -39.23098444, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, 0.00, 0.02
Am, -1139.41561847, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 1.00, 3.03
Ar, -42.22353145, Ar_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 8.00, SG15-1.1, 0.00, 0.00
As, -17.86234758, As.pbe-n-rrkjus_psl.0.2.UPF, 35, 280, 5.00, 031US, -0.00, 0.01
At, -220.34317107, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, 0.00, 0.00
Au, -274.44917991, Au_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 19.00, SG15, 0.00, 0.00
Ba, -436.18045565, Ba.pbe-spn-kjpaw_psl.1.0.0.UPF, 30, 240, 10.00, 100PAW, 0.00, 0.00
Be, -27.98752122, be_pbe_v1.4.uspp.F.UPF, 40, 320, 4.00, GBRV-1.4, 0.00, 0.00
Bi, -184.98165334, Bi_pbe_v1.uspp.F.UPF, 45, 360, 15.00, GBRV-1.2, 0.00, 0.00
Bk, -1226.73886779, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, -0.00, 2.12
Br, -46.73297561, br_pbe_v1.4.uspp.F.UPF, 30, 240, 7.00, GBRV-1.4, 0.00, 0.00
B, -5.90810005, b_pbe_v1.4.uspp.F.UPF, 35, 280, 3.00, GBRV-1.4, 0.00, 0.00
C, -17.77830575, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, 0.00, 0.00
Ca, -74.86965588, Ca_pbe_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, -0.00, 0.00
Cd, -122.21247125, Cd.pbe-dn-rrkjus_psl.0.3.1.UPF, 60, 480, 12.00, 031US, 0.00, 0.00
Ce, -481.81846233, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.29, 1.55
Cf, -1274.75218369, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.00, 2.05
Cl, -33.16625707, cl_pbe_v1.4.uspp.F.UPF, 40, 320, 7.00, GBRV-1.4, 0.00, 0.00
Cm, -1181.63396488, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -0.00, 2.40
Co, -298.13100097, Co_pbe_v1.2.uspp.F.UPF, 45, 360, 17.00, GBRV-1.2, 3.00, 3.00
Cr, -175.02223396, cr_pbe_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, 2.00, 2.79
Cs, -63.09002293, Cs_pbe_v1.uspp.F.UPF, 30, 240, 9.00, GBRV-1.2, 0.00, 0.00
Cu, -212.83924620, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, 0.00, 0.00
Dy, -777.02902538, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -0.00, 0.99
Er, -885.78423482, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, -0.01, 0.58
Es, -1325.80796949, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, -0.01, 1.48
Eu, -642.10041532, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, -0.00, 0.78
Fe, -328.80849423, Fe.pbe-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, -0.46, 2.10
Fm, -1380.04287815, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 0.07, 0.69
Fr, -1071.67782042, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.00, 0.00
F, -48.33549137, f_pbe_v1.4.uspp.F.UPF, 45, 360, 7.00, GBRV-1.4, -0.00, 0.00
Ga, -277.71275252, Ga.pbe-dn-kjpaw_psl.1.0.0.UPF, 70, 560, 13.00, 100PAW, -0.00, 0.00
Gd, -683.53934777, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, 0.00, 0.77
Ge, -213.32014374, ge_pbe_v1.4.uspp.F.UPF, 40, 320, 14.00, GBRV-1.4, -0.02, 0.02
H, -0.92493362, H.pbe-rrkjus_psl.1.0.0.UPF, 60, 480, 1.00, 100US, -0.00, 0.00
He, -5.57586948, He_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 2.00, SG15, 0.00, 0.00
Hf, -112.37582616, Hf-sp.oncvpsp.upf, 50, 200, 12.00, Dojo, -0.00, 0.01
Hg, -310.13926786, Hg_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 20.00, SG15, 0.00, 0.00
Ho, -829.52769509, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, -3.00, 3.05
I, -378.80142487, I.pbe-n-kjpaw_psl.0.2.UPF, 35, 280, 7.00, 031PAW, 0.01, 0.01
In, -144.65350846, In.pbe-dn-rrkjus_psl.0.2.2.UPF, 50, 400, 13.00, 031US, 0.00, 0.00
Ir, -181.21975209, Ir_pbe_v1.2.uspp.F.UPF, 55, 440, 15.00, GBRV-1.2, 0.11, 2.07
K, -113.01121208, K.pbe-spn-kjpaw_psl.1.0.0.UPF, 60, 480, 9.00, 100PAW, -0.00, 0.00
Kr, -37.17781781, Kr_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 8.00, SG15, 0.00, 0.00
La, -458.03825559, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40, 320, 11.00, Wentzcovitch, 0.00, 0.94
Li, -14.37977769, li_pbe_v1.4.uspp.F.UPF, 40, 320, 3.00, GBRV-1.4, 0.04, 0.04
Lr, -1562.27736265, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60, 480, 25.00, MalteSachs, 0.00, 0.02
Lu, -1079.92331215, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45, 360, 25.00, Wentzcovitch, -0.01, 0.02
Md, -1437.58535776, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60, 480, 23.00, MalteSachs, -0.01, 0.01
Mg, -33.54073067, Mg.pbe-n-kjpaw_psl.0.3.0.UPF, 30, 240, 2.00, 031PAW, 0.00, 0.00
Mn, -210.72622821, mn_pbe_v1.5.uspp.F.UPF, 65, 780, 15.00, GBRV-1.5, -0.10, 2.18
Mo, -136.54757185, Mo_ONCV_PBE-1.0.oncvpsp.upf, 35, 140, 14.00, SG15, 0.00, 3.36
N, -19.59177657, N.pbe-n-radius_5.UPF, 60, 480, 5.00, THEOS, -0.00, 0.00
Na, -95.30300816, na_pbe_v1.5.uspp.F.UPF, 40, 320, 9.00, GBRV-1.5, 0.00, 0.00
Nb, -333.72294603, Nb.pbe-spn-kjpaw_psl.0.3.0.UPF, 40, 320, 13.00, 031PAW, 1.00, 2.78
Nd, -537.17027551, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40, 320, 14.00, Wentzcovitch, 0.14, 1.41
Ne, -60.81404626, Ne_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 8.00, SG15, -0.00, 0.00
Ni, -342.92430188, ni_pbe_v1.4.uspp.F.UPF, 45, 360, 18.00, GBRV-1.4, -0.53, 1.55
No, -1498.52453484, No.paw.z_24.ld1.uni-marburg.v0.upf, 60, 480, 24.00, MalteSachs, -0.00, 0.00
Np, -1062.70402472, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60, 480, 15.00, MalteSachs, 0.21, 2.34
O, -41.17054491, O.pbe-n-kjpaw_psl.0.1.UPF, 50, 400, 6.00, 031PAW, 0.00, 0.00
Os, -197.82214225, Os_pbe_v1.2.uspp.F.UPF, 40, 320, 16.00, GBRV-1.2, 0.00, 0.01
P, -13.66016534, P.pbe-n-rrkjus_psl.1.0.0.UPF, 30, 240, 5.00, 100US, -0.00, 0.02
Pa, -995.83082087, Pa.paw.z_13.ld1.uni-marburg.v0.upf, 60, 480, 13.00, MalteSachs, -0.99, 2.65
Pb, -870.28397797, Pb.pbe-dn-kjpaw_psl.0.2.2.UPF, 40, 320, 14.00, 031PAW, -0.02, 0.02
Pd, -252.93709193, Pd_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 18.00, SG15, -0.00, 0.00
Pm, -569.05631792, Pm.paw.z_15.atompaw.wentzcovitch.v1.2.upf, 40, 320, 15.00, Wentzcovitch, 0.03, 1.10
Po, -195.35769519, Po.pbe-dn-rrkjus_psl.1.0.0.UPF, 75, 600, 16.00, 100US, 0.00, 0.00
Pr, -508.20879155, Pr.paw.z_13.atompaw.wentzcovitch.v1.2.upf, 40, 320, 13.00, Wentzcovitch, -3.00, 3.03
Pt, -210.29447213, pt_pbe_v1.4.uspp.F.UPF, 35, 280, 16.00, GBRV-1.4, 0.75, 1.47
Pu, -1099.95858555, Pu.paw.z_16.ld1.uni-marburg.v0.upf, 60, 480, 16.00, MalteSachs, -6.00, 6.24
Ra, -1118.48203948, Ra.paw.z_20.ld1.psl.v1.0.0-high.upf, 90, 720, 20.00, 100PAW, -0.00, 0.00
Rb, -48.93766448, Rb_ONCV_PBE-1.0.oncvpsp.upf, 30, 120, 9.00, SG15, -0.00, 0.00
Re, -189.86118946, Re_pbe_v1.2.uspp.F.UPF, 30, 240, 15.00, GBRV-1.2, -0.00, 0.00
Rh, -216.48371118, Rh_ONCV_PBE-1.0.oncvpsp.upf, 35, 140, 17.00, SG15, 0.01, 0.01
Rn, -1027.07587185, Rn.pbe-dn-kjpaw_psl.1.0.0.UPF, 120, 960, 18.00, 100PAW, 0.00, 0.00
Ru, -188.00374804, Ru_ONCV_PBE-1.0.oncvpsp.upf, 35, 140, 16.00, SG15, -0.00, 2.50
Sb, -184.64647569, sb_pbe_v1.4.uspp.F.UPF, 40, 320, 15.00, GBRV-1.4, -0.02, 0.02
Sc, -91.60975797, Sc_ONCV_PBE-1.0.oncvpsp.upf, 40, 160, 11.00, SG15, -0.01, 0.01
Se, -43.35305659, Se_pbe_v1.uspp.F.UPF, 30, 240, 6.00, GBRV-1.2, 0.00, 0.00
Si, -11.02612110, Si.pbe-n-rrkjus_psl.1.0.0.UPF, 30, 240, 4.00, 100US, -0.00, 0.01
Sm, -603.99259616, Sm.paw.z_16.atompaw.wentzcovitch.v1.2.upf, 40, 320, 16.00, Wentzcovitch, 0.00, 0.88
Sn, -162.95603278, Sn_pbe_v1.uspp.F.UPF, 60, 480, 14.00, GBRV-1.2, -0.00, 0.00
Sr, -70.13378127, Sr_pbe_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, -0.00, 0.00
S, -23.80773754, s_pbe_v1.4.uspp.F.UPF, 35, 280, 6.00, GBRV-1.4, 0.00, 0.00
Ta, -141.27476068, Ta_pbe_v1.uspp.F.UPF, 45, 360, 13.00, GBRV-1.2, -0.05, 1.79
