Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.88133470, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40.0, 320.0, 11.00, 100US, 0.01, 0.01
Ag, -287.15923659, Ag_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 19.00, SG15, -0.00, 0.00
Al, -39.24160842, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30.0, 240.0, 3.00, 100PAW, -0.02, 0.04
Am, -1139.39150095, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60.0, 480.0, 17.00, MalteSachs, 0.04, 2.50
Ar, -95.08107653, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120.0, 960.0, 8.00, 100PAW, 0.00, 0.00
As, -211.81242892, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75.0, 300.0, 15.00, Dojo, 0.00, 0.00
At, -220.35377167, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80.0, 640.0, 17.00, 100US, -0.00, 0.00
Au, -274.45513223, Au_ONCV_PBE-1.0.oncvpsp.upf, 50.0, 200.0, 19.00, SG15, 0.00, 0.00
Ba, -55.99583650, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35.0, 140.0, 10.00, Dojo, 0.00, 0.00
Be, -26.31824018, Be_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 4.00, SG15, -0.00, 0.00
Bi, -184.99871846, Bi_pbe_v1.uspp.F.UPF, 50.0, 400.0, 15.00, GBRV-1.2, -0.00, 0.01
Bk, -1226.74561768, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60.0, 480.0, 19.00, MalteSachs, 0.00, 2.04
B, -6.02617768, B_pbe_v1.01.uspp.F.UPF, 55.0, 440.0, 3.00, GBRV-1.2, -0.00, 0.00
Br, -46.74381999, br_pbe_v1.4.uspp.F.UPF, 90.0, 720.0, 7.00, GBRV-1.4, 0.00, 0.00
Ca, -74.86965537, Ca_pbe_v1.uspp.F.UPF, 30.0, 240.0, 10.00, GBRV-1.2, -0.00, 0.00
Cd, -606.12801014, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100.0, 800.0, 20.00, 100PAW, -0.00, 0.00
Ce, -481.83067006, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50.0, 400.0, 12.00, Wentzcovitch, -0.36, 1.02
Cf, -1274.75027862, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60.0, 480.0, 20.00, MalteSachs, -0.00, 1.54
Cl, -34.49115525, Cl.pbe-n-rrkjus_psl.1.0.0.UPF, 100.0, 800.0, 7.00, 100US, -0.00, 0.00
Cm, -1181.63052432, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60.0, 480.0, 18.00, MalteSachs, -0.19, 2.42
Co, -298.05181012, Co_pbe_v1.2.uspp.F.UPF, 90.0, 1080.0, 17.00, GBRV-1.2, -0.69, 1.49
C, -17.79373217, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45.0, 360.0, 4.00, 100PAW, -0.00, 0.00
Cr, -174.99838658, cr_pbe_v1.5.uspp.F.UPF, 40.0, 320.0, 14.00, GBRV-1.5, 0.04, 1.95
Cs, -46.78345002, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45.0, 180.0, 9.00, Dojo, 0.00, 0.00
Cu, -212.84559856, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90.0, 720.0, 11.00, 100PAW-low, 0.00, 0.00
Dy, -777.02946398, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 20.00, Wentzcovitch, -0.09, 0.98
Er, -885.78735450, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 22.00, Wentzcovitch, -0.03, 0.51
Es, -1325.81466181, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60.0, 480.0, 21.00, MalteSachs, 0.01, 1.32
Eu, -642.10614438, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 17.00, Wentzcovitch, 0.00, 0.78
Fe, -328.81320229, Fe.pbe-spn-kjpaw_psl.0.2.1.UPF, 90.0, 1080.0, 16.00, 031PAW, -0.57, 2.00
Fm, -1380.06101586, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60.0, 480.0, 22.00, MalteSachs, -0.03, 0.74
F, -49.03099148, F.oncvpsp.upf, 90.0, 360.0, 7.00, Dojo, 0.00, 0.00
Fr, -1071.68346226, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150.0, 1200.0, 19.00, 100PAW, 0.00, 0.00
Ga, -277.72345342, Ga.pbe-dn-kjpaw_psl.1.0.0.UPF, 90.0, 720.0, 13.00, 100PAW, 0.00, 0.01
