Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.63782147, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.00, 0.00
Ag, -286.99651999, Ag_ONCV_PBEsol-1.0.upf, 55, 220, 19.00, SG15, -0.01, 0.01
Am, -1124.97651448, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, -1.00, 2.87
Ar, -93.55116297, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120, 960, 8.00, 100PAW, -0.00, 0.00
As, -211.45200948, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75, 300, 15.00, Dojo, 0.00, 0.00
At, -220.00683756, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -0.00, 0.00
Au, -274.46179509, Au_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, 0.00, 0.00
Ba, -55.98961084, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35, 140, 10.00, Dojo, 0.00, 0.00
Be, -26.15838422, Be_ONCV_PBEsol-1.0.upf, 55, 220, 4.00, SG15, 0.00, 0.00
Bk, -1211.89034982, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 5.00, 5.18
Cd, -600.88057566, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100, 800, 20.00, 100PAW, 0.00, 0.00
Ce, -475.06226273, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -1.09, 2.17
Cf, -1259.43533317, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 0.01, 2.10
Cm, -4383.01872170, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, 0.00, 14.97
Cs, -46.53660072, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45, 180, 9.00, Dojo, -0.02, 0.02
Cu, -210.11781015, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, -0.00, 0.00
Dy, -769.15339927, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -4.04, 4.12
Er, -877.43819644, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, -0.01, 0.60
Es, -1310.26048925, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, 3.00, 3.05
Eu, -634.57064139, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, -1.00, 1.52
Fm, -1364.12869660, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 2.05, 2.06
F, -48.80655411, F.oncvpsp.upf, 90, 360, 7.00, Dojo, -0.00, 0.00
Fr, -1059.38032336, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.02, 0.02
Gd, -676.14378299, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, -6.96, 7.10
He, -5.51625750, He_ONCV_PBEsol-1.0.upf, 55, 220, 2.00, SG15, -0.00, 0.00
Hf, -112.25944365, Hf-sp.oncvpsp.upf, 55, 220, 12.00, Dojo, -0.00, 0.01
Hg, -107.49401321, Hg.us.z_12.uspp.gbrv.v1.upf, 65, 390, 12.00, GBRV-v1.0, -0.00, 0.00
H, -0.90394935, H_ONCV_PBEsol-1.0.upf, 80, 320, 1.00, SG15, -0.00, 0.00
Ho, -821.33927385, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, -3.00, 3.05
I, -198.63684288, I.nc.z_17.oncvpsp4.sg15.v0.upf, 65, 260, 17.00, SG15, -0.00, 0.00
