Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.65165584, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, -1.00, 1.46
Ag, -287.00806865, Ag_ONCV_PBEsol-1.0.upf, 55, 220, 19.00, SG15, -1.00, 1.08
Am, -1124.98040852, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, -1.00, 3.00
Ar, -93.55116400, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120, 960, 8.00, 100PAW, 0.00, 0.00
As, -211.51520540, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75, 300, 15.00, Dojo, -1.00, 2.01
At, -220.01442347, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -1.00, 1.10
Au, -274.47260408, Au_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, 1.00, 1.07
Ba, -55.98961110, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35, 140, 10.00, Dojo, -0.00, 0.00
Be, -26.15838449, Be_ONCV_PBEsol-1.0.upf, 55, 220, 4.00, SG15, 0.00, 0.00
Bk, -1211.89071843, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 5.00, 5.18
Cd, -600.88057595, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100, 800, 20.00, 100PAW, 0.00, 0.00
Ce, -475.04893406, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, 0.00, 1.43
Cf, -1259.54995106, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, -4.00, 4.11
Cm, -4340.29796200, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -0.00, 22.23
