Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.63782164, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, -0.01, 0.01
Ag, -286.99651958, Ag_ONCV_PBEsol-1.0.upf, 55, 220, 19.00, SG15, -0.00, 0.00
Am, -1124.98040695, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, -1.00, 3.00
Ar, -93.55116398, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120, 960, 8.00, 100PAW, -0.00, 0.00
As, -211.45201190, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75, 300, 15.00, Dojo, -0.01, 0.01
At, -220.00683766, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, -0.00, 0.00
Au, -274.46179570, Au_ONCV_PBEsol-1.0.upf, 50, 200, 19.00, SG15, 0.01, 0.01
Ba, -55.98961110, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35, 140, 10.00, Dojo, 0.00, 0.00
Be, -26.15838441, Be_ONCV_PBEsol-1.0.upf, 55, 220, 4.00, SG15, -0.00, 0.00
Bk, -1211.71969752, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, -0.13, 2.16
Cd, -600.88057595, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100, 800, 20.00, 100PAW, 0.00, 0.00
Ce, -475.04499807, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.15, 1.58
Cf, -1259.54970553, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, -4.00, 4.11
Cm, -4340.28894602, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, 0.00, 22.41
Cs, -46.53659913, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45, 180, 9.00, Dojo, -0.01, 0.01
Cu, -210.13279571, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, -1.00, 1.10
Dy, -769.00164673, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, 0.00, 1.02
Er, -877.47421862, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, 2.00, 2.04
Es, -1310.17882837, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, -0.10, 1.61
Eu, -634.56456198, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, 1.00, 1.50
Fm, -1364.12423066, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 2.05, 2.06
