Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.87234656, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40.0, 320.0, 11.00, 100US, -0.00, 0.00
Ag, -287.15359456, Ag_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 19.00, SG15, -0.00, 0.00
Al, -39.23098784, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30.0, 240.0, 3.00, 100PAW, -0.02, 0.02
Am, -1139.38585810, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60.0, 480.0, 17.00, MalteSachs, 0.03, 2.50
Ar, -95.08107672, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120.0, 960.0, 8.00, 100PAW, -0.00, 0.00
As, -211.79550467, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75.0, 300.0, 15.00, Dojo, 0.01, 0.01
At, -220.34317161, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80.0, 640.0, 17.00, 100US, -0.00, 0.00
Au, -274.44949009, Au_ONCV_PBE-1.0.oncvpsp.upf, 50.0, 200.0, 19.00, SG15, 0.00, 0.00
Ba, -55.99583629, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35.0, 140.0, 10.00, Dojo, -0.00, 0.00
Be, -26.31824030, Be_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 4.00, SG15, 0.00, 0.00
Bi, -184.98179405, Bi_pbe_v1.uspp.F.UPF, 50.0, 400.0, 15.00, GBRV-1.2, 0.01, 0.01
Bk, -1226.73887402, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60.0, 480.0, 19.00, MalteSachs, -0.00, 2.12
B, -6.01557751, B_pbe_v1.01.uspp.F.UPF, 55.0, 440.0, 3.00, GBRV-1.2, -0.00, 0.00
Br, -46.73321974, br_pbe_v1.4.uspp.F.UPF, 90.0, 720.0, 7.00, GBRV-1.4, 0.00, 0.00
Ca, -74.86965588, Ca_pbe_v1.uspp.F.UPF, 30.0, 240.0, 10.00, GBRV-1.2, -0.00, 0.00
Cd, -606.12801040, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100.0, 800.0, 20.00, 100PAW, -0.00, 0.00
Ce, -481.82186244, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50.0, 400.0, 12.00, Wentzcovitch, -0.41, 1.47
Cf, -1274.73441082, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60.0, 480.0, 20.00, MalteSachs, -0.00, 1.56
Cl, -34.48055498, Cl.pbe-n-rrkjus_psl.1.0.0.UPF, 100.0, 800.0, 7.00, 100US, -0.00, 0.00
Cm, -1181.62798187, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60.0, 480.0, 18.00, MalteSachs, 0.00, 2.51
Co, -298.03749586, Co_pbe_v1.2.uspp.F.UPF, 90.0, 1080.0, 17.00, GBRV-1.2, -0.79, 1.63
C, -17.77830575, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45.0, 360.0, 4.00, 100PAW, 0.00, 0.00
Cr, -174.99005906, cr_pbe_v1.5.uspp.F.UPF, 40.0, 320.0, 14.00, GBRV-1.5, -0.01, 1.92
Cs, -46.77780828, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45.0, 180.0, 9.00, Dojo, 0.00, 0.00
Cu, -212.83924888, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90.0, 720.0, 11.00, 100PAW-low, -0.01, 0.02
Dy, -777.02896939, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 20.00, Wentzcovitch, -0.00, 0.99
Er, -885.78428880, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 22.00, Wentzcovitch, 0.01, 0.58
Es, -1325.80459748, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60.0, 480.0, 21.00, MalteSachs, 0.00, 1.51
Eu, -642.10049198, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 17.00, Wentzcovitch, 0.00, 0.78
Fe, -328.80284788, Fe.pbe-spn-kjpaw_psl.0.2.1.UPF, 90.0, 1080.0, 16.00, 031PAW, -0.72, 2.12
Fm, -1380.05141954, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60.0, 480.0, 22.00, MalteSachs, -0.00, 1.10
F, -49.02039115, F.oncvpsp.upf, 90.0, 360.0, 7.00, Dojo, 0.00, 0.00
Fr, -1071.67782042, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150.0, 1200.0, 19.00, 100PAW, 0.00, 0.00
Ga, -277.71285885, Ga.pbe-dn-kjpaw_psl.1.0.0.UPF, 90.0, 720.0, 13.00, 100PAW, 0.00, 0.02
Gd, -683.53933850, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 18.00, Wentzcovitch, 0.00, 0.77
Ge, -213.32031235, ge_pbe_v1.4.uspp.F.UPF, 45.0, 360.0, 14.00, GBRV-1.4, 0.00, 0.00
He, -5.57587041, He_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 2.00, SG15, 0.00, 0.00
Hf, -112.37609460, Hf-sp.oncvpsp.upf, 55.0, 220.0, 12.00, Dojo, 0.01, 0.01
Hg, -107.77845681, Hg.us.z_12.uspp.gbrv.v1.upf, 65.0, 390.0, 12.00, GBRV-v1.0, 0.00, 0.00
H, -0.92466980, H_ONCV_PBE-1.0.oncvpsp.upf, 80.0, 320.0, 1.00, SG15, -0.01, 0.01
Ho, -829.52771652, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 21.00, Wentzcovitch, -3.00, 3.05
I, -198.63013902, I.nc.z_17.oncvpsp4.sg15.v0.upf, 65.0, 260.0, 17.00, SG15, 0.00, 0.00
In, -144.65350846, In.pbe-dn-rrkjus_psl.0.2.2.UPF, 50.0, 400.0, 13.00, 031US, -0.00, 0.00
Ir, -963.42387771, Ir.us.z_31.ld1.psl.v1.0.0-high.upf, 90.0, 720.0, 31.00, 100US, 0.01, 0.01
K, -113.01121208, K.pbe-spn-kjpaw_psl.1.0.0.UPF, 60.0, 480.0, 9.00, 100PAW, -0.00, 0.00
Kr, -504.24775247, Kr.paw.z_18.ld1.psl.v1.0.0-high.upf, 200.0, 1200.0, 18.00, 100PAW, 0.00, 0.00
La, -458.03953931, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 11.00, Wentzcovitch, -1.00, 1.02
Li, -14.37976824, li_pbe_v1.4.uspp.F.UPF, 40.0, 320.0, 3.00, GBRV-1.4, 0.02, 0.02
Lr, -1562.27735730, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60.0, 480.0, 25.00, MalteSachs, 0.00, 0.01
Lu, -1079.92330831, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45.0, 360.0, 25.00, Wentzcovitch, -0.01, 0.02
Md, -1437.58535814, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60.0, 480.0, 23.00, MalteSachs, -0.00, 0.02
Mg, -125.24818580, mg_pbe_v1.4.uspp.F.UPF, 45.0, 360.0, 10.00, GBRV-1.4, 0.00, 0.00
Mn, -210.75758862, mn_pbe_v1.5.uspp.F.UPF, 90.0, 1080.0, 15.00, GBRV-1.5, -2.23, 2.87
Mo, -136.54734052, Mo_ONCV_PBE-1.0.oncvpsp.upf, 35.0, 140.0, 14.00, SG15, 0.00, 3.42
Na, -109.20844045, Na.paw.z_9.ld1.psl.v1.0.0-low.upf, 100.0, 800.0, 9.00, 100PAW-low, -0.00, 0.00
Nb, -333.72017104, Nb.pbe-spn-kjpaw_psl.0.3.0.UPF, 40.0, 320.0, 13.00, 031PAW, 1.44, 2.73
Nd, -537.16753650, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 14.00, Wentzcovitch, 0.07, 1.37
Ne, -82.02566818, Ne.paw.z_8.ld1.psl.v1.0.0-high.upf, 120.0, 720.0, 8.00, 100PAW, -0.00, 0.00
Ni, -342.92371269, ni_pbe_v1.4.uspp.F.UPF, 50.0, 400.0, 18.00, GBRV-1.4, -0.82, 1.40
N, -20.15013354, N.oncvpsp.upf, 80.0, 320.0, 5.00, Dojo, 0.00, 0.00
No, -1498.52453514, No.paw.z_24.ld1.uni-marburg.v0.upf, 60.0, 480.0, 24.00, MalteSachs, 0.00, 0.00
Np, -1062.70351630, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60.0, 480.0, 15.00, MalteSachs, 0.04, 2.32
O, -41.17158139, O.pbe-n-kjpaw_psl.0.1.UPF, 75.0, 600.0, 6.00, 031PAW, -0.00, 0.00
Os, -197.89901651, Os_pbe_v1.2.uspp.F.UPF, 40.0, 320.0, 16.00, GBRV-1.2, -0.77, 2.60
Pa, -995.82911130, Pa.paw.z_13.ld1.uni-marburg.v0.upf, 60.0, 480.0, 13.00, MalteSachs, -0.93, 2.62
Pb, -870.28450779, Pb.pbe-dn-kjpaw_psl.0.2.2.UPF, 45.0, 360.0, 14.00, 031PAW, -0.01, 0.02
Pd, -252.93725303, Pd_ONCV_PBE-1.0.oncvpsp.upf, 50.0, 200.0, 18.00, SG15, -0.00, 0.00
Pm, -569.05644886, Pm.paw.z_15.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 15.00, Wentzcovitch, -0.03, 1.11
Po, -195.35778087, Po.pbe-dn-rrkjus_psl.1.0.0.UPF, 80.0, 640.0, 16.00, 100US, -0.02, 0.02
P, -13.66016526, P.pbe-n-rrkjus_psl.1.0.0.UPF, 30.0, 240.0, 5.00, 100US, 0.00, 0.02
Pr, -508.13790191, Pr.paw.z_13.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 13.00, Wentzcovitch, 0.28, 1.41
Pt, -1032.43284761, Pt.pbe-spfn-rrkjus_psl.1.0.0.UPF, 100.0, 800.0, 32.00, 100US, -0.00, 0.00
Pu, -1099.76876272, Pu.paw.z_16.ld1.uni-marburg.v0.upf, 60.0, 480.0, 16.00, MalteSachs, -0.00, 2.56
Ra, -1118.48203944, Ra.paw.z_20.ld1.psl.v1.0.0-high.upf, 90.0, 720.0, 20.00, 100PAW, -0.00, 0.00
Rb, -48.93766440, Rb_ONCV_PBE-1.0.oncvpsp.upf, 30.0, 120.0, 9.00, SG15, -0.00, 0.00
Re, -189.86119145, Re_pbe_v1.2.uspp.F.UPF, 30.0, 240.0, 15.00, GBRV-1.2, -0.00, 0.01
Rh, -216.48508296, Rh_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 17.00, SG15, -0.00, 0.01
Rn, -1027.07614338, Rn.paw.z_18.ld1.psl.v1.0.0-high.upf, 200.0, 1600.0, 18.00, 100PAW, -0.00, 0.00
Ru, -187.99831283, Ru_ONCV_PBE-1.0.oncvpsp.upf, 35.0, 140.0, 16.00, SG15, 0.74, 2.39
Sb, -184.64735987, sb_pbe_v1.4.uspp.F.UPF, 55.0, 440.0, 15.00, GBRV-1.4, -0.00, 0.00
Sc, -156.70585504, Sc.pbe-spn-kjpaw_psl.0.2.3.UPF, 90.0, 720.0, 11.00, 031PAW, -0.00, 0.01
Se, -43.35305647, Se_pbe_v1.uspp.F.UPF, 30.0, 240.0, 6.00, GBRV-1.2, 0.00, 0.00
Si, -11.02612461, Si.pbe-n-rrkjus_psl.1.0.0.UPF, 30.0, 240.0, 4.00, 100US, -0.02, 0.02
Sm, -603.99567619, Sm.paw.z_16.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 16.00, Wentzcovitch, -0.00, 0.90
Sn, -162.95616170, Sn_pbe_v1.uspp.F.UPF, 70.0, 560.0, 14.00, GBRV-1.2, -0.00, 0.00
S, -23.80773749, s_pbe_v1.4.uspp.F.UPF, 35.0, 280.0, 6.00, GBRV-1.4, 0.00, 0.00
Sr, -70.13403970, Sr_pbe_v1.uspp.F.UPF, 40.0, 320.0, 10.00, GBRV-1.2, 0.00, 0.00
Ta, -141.29480167, Ta_pbe_v1.uspp.F.UPF, 50.0, 400.0, 13.00, GBRV-1.2, -1.00, 2.45
Tb, -728.44174214, Tb.paw.z_19.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 19.00, Wentzcovitch, 0.01, 0.82
Tc, -160.80230883, Tc_ONCV_PBE-1.0.oncvpsp.upf, 40.0, 160.0, 15.00, SG15, -5.00, 5.08
Te, -28.28911296, Te.us.z_6.ld1.psl.v1.0.0-low.upf, 50.0, 400.0, 6.00, US100-low, -0.01, 0.02
Th, -965.82421991, Th.paw.z_12.ld1.uni-marburg.v0.upf, 60.0, 480.0, 12.00, MalteSachs, 0.00, 1.55
Ti, -118.85522449, ti_pbe_v1.4.uspp.F.UPF, 40.0, 320.0, 12.00, GBRV-1.4, -0.14, 1.32
Tl, -144.79759472, Tl_pbe_v1.2.uspp.F.UPF, 70.0, 560.0, 13.00, GBRV-1.2, 0.00, 0.00
