Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.86749544, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, -0.02, 0.03
Ag, -287.15072720, Ag_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 19.00, SG15, 0.01, 0.01
Al, -39.22470651, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.00, 0.00
Am, -1139.41561984, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 1.00, 3.03
Ar, -42.22353145, Ar_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 8.00, SG15-1.1, -0.00, 0.00
As, -17.85388377, As.pbe-n-rrkjus_psl.0.2.UPF, 35, 280, 5.00, 031US, 0.00, 0.00
At, -220.33690029, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, 0.01, 0.01
Au, -274.44636094, Au_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 19.00, SG15, 0.01, 0.01
Ba, -436.18045566, Ba.pbe-spn-kjpaw_psl.1.0.0.UPF, 30, 240, 10.00, 100PAW, -0.00, 0.00
Be, -27.98752122, be_pbe_v1.4.uspp.F.UPF, 40, 320, 4.00, GBRV-1.4, 0.00, 0.00
Bi, -184.97319028, Bi_pbe_v1.uspp.F.UPF, 45, 360, 15.00, GBRV-1.2, -0.00, 0.00
Bk, -1226.73604106, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, -0.00, 2.12
Br, -46.72670251, br_pbe_v1.4.uspp.F.UPF, 30, 240, 7.00, GBRV-1.4, 0.00, 0.00
B, -5.90183261, b_pbe_v1.4.uspp.F.UPF, 35, 280, 3.00, GBRV-1.4, 0.01, 0.01
C, -17.77034712, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, -0.00, 0.00
Ca, -74.86965590, Ca_pbe_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, 0.00, 0.00
Cd, -122.21247115, Cd.pbe-dn-rrkjus_psl.0.3.1.UPF, 60, 480, 12.00, 031US, 0.00, 0.00
Ce, -481.81354117, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.38, 1.54
Cf, -1274.75214531, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, -0.01, 2.06
Cl, -33.15998593, cl_pbe_v1.4.uspp.F.UPF, 40, 320, 7.00, GBRV-1.4, -0.00, 0.01
Cm, -1181.63395806, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -0.00, 2.40
Co, -298.12704442, Co_pbe_v1.2.uspp.F.UPF, 45, 360, 17.00, GBRV-1.2, 3.00, 3.00
Cr, -175.01859047, cr_pbe_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, 2.00, 2.80
Cs, -63.08720205, Cs_pbe_v1.uspp.F.UPF, 30, 240, 9.00, GBRV-1.2, 0.00, 0.00
