Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.86748984, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40.0, 320.0, 11.00, 100US, 0.00, 0.02
Ag, -287.15077700, Ag_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 19.00, SG15, -0.02, 0.02
Al, -39.22471101, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30.0, 240.0, 3.00, 100PAW, 0.01, 0.02
Am, -1139.38304009, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60.0, 480.0, 17.00, MalteSachs, 0.03, 2.50
Ar, -95.08107672, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120.0, 960.0, 8.00, 100PAW, 0.00, 0.00
As, -211.78704217, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75.0, 300.0, 15.00, Dojo, -0.01, 0.01
At, -220.33689838, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80.0, 640.0, 17.00, 100US, -0.00, 0.00
Au, -274.44667147, Au_ONCV_PBE-1.0.oncvpsp.upf, 50.0, 200.0, 19.00, SG15, 0.01, 0.01
Ba, -55.99583629, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35.0, 140.0, 10.00, Dojo, -0.00, 0.00
Be, -26.31824029, Be_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 4.00, SG15, 0.00, 0.00
Bi, -184.97333046, Bi_pbe_v1.uspp.F.UPF, 50.0, 400.0, 15.00, GBRV-1.2, -0.01, 0.01
Bk, -1226.73604770, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60.0, 480.0, 19.00, MalteSachs, -0.00, 2.12
B, -6.00931116, B_pbe_v1.01.uspp.F.UPF, 55.0, 440.0, 3.00, GBRV-1.2, 0.00, 0.01
Br, -46.72694814, br_pbe_v1.4.uspp.F.UPF, 90.0, 720.0, 7.00, GBRV-1.4, 0.01, 0.01
Ca, -74.86965590, Ca_pbe_v1.uspp.F.UPF, 30.0, 240.0, 10.00, GBRV-1.2, 0.00, 0.00
Cd, -606.12801040, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100.0, 800.0, 20.00, 100PAW, 0.00, 0.00
Ce, -481.81804114, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50.0, 400.0, 12.00, Wentzcovitch, -0.38, 1.46
Cf, -1274.73963443, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60.0, 480.0, 20.00, MalteSachs, -0.15, 1.80
Cl, -34.47428223, Cl.pbe-n-rrkjus_psl.1.0.0.UPF, 100.0, 800.0, 7.00, 100US, -0.00, 0.00
Cm, -1181.62782394, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60.0, 480.0, 18.00, MalteSachs, -0.00, 2.53
Co, -298.03084796, Co_pbe_v1.2.uspp.F.UPF, 90.0, 1080.0, 17.00, GBRV-1.2, -0.82, 1.68
C, -17.77034728, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45.0, 360.0, 4.00, 100PAW, -0.00, 0.00
Cr, -174.98550937, cr_pbe_v1.5.uspp.F.UPF, 40.0, 320.0, 14.00, GBRV-1.5, -0.01, 1.92
Cs, -46.77498738, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45.0, 180.0, 9.00, Dojo, 0.00, 0.00
Cu, -212.83617339, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90.0, 720.0, 11.00, 100PAW-low, -0.00, 0.00
Dy, -777.02898381, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 20.00, Wentzcovitch, 0.00, 0.99
Er, -885.78410493, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 22.00, Wentzcovitch, -0.00, 0.59
Es, -1325.80069342, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60.0, 480.0, 21.00, MalteSachs, 0.01, 1.54
Eu, -642.09768969, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 17.00, Wentzcovitch, 0.00, 0.77
Fe, -328.79883676, Fe.pbe-spn-kjpaw_psl.0.2.1.UPF, 90.0, 1080.0, 16.00, 031PAW, -0.73, 2.19
Fm, -1380.04881963, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60.0, 480.0, 22.00, MalteSachs, -0.13, 1.24
F, -49.01411803, F.oncvpsp.upf, 90.0, 360.0, 7.00, Dojo, 0.00, 0.00
Fr, -1071.67499950, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150.0, 1200.0, 19.00, 100PAW, 0.00, 0.00
Ga, -277.70658017, Ga.pbe-dn-kjpaw_psl.1.0.0.UPF, 90.0, 720.0, 13.00, 100PAW, -0.00, 0.00
Gd, -683.53933600, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 18.00, Wentzcovitch, -0.00, 0.77
Ge, -213.31235320, ge_pbe_v1.4.uspp.F.UPF, 45.0, 360.0, 14.00, GBRV-1.4, -0.00, 0.00
He, -5.57587041, He_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 2.00, SG15, 0.00, 0.00
Hf, -112.37045177, Hf-sp.oncvpsp.upf, 55.0, 220.0, 12.00, Dojo, -0.00, 0.02
Hg, -107.77845661, Hg.us.z_12.uspp.gbrv.v1.upf, 65.0, 390.0, 12.00, GBRV-v1.0, -0.00, 0.00
H, -0.92184696, H_ONCV_PBE-1.0.oncvpsp.upf, 80.0, 320.0, 1.00, SG15, 0.00, 0.00
Ho, -829.52771561, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 21.00, Wentzcovitch, -3.00, 3.05
I, -198.62386624, I.nc.z_17.oncvpsp4.sg15.v0.upf, 65.0, 260.0, 17.00, SG15, 0.01, 0.01
In, -144.64723546, In.pbe-dn-rrkjus_psl.0.2.2.UPF, 50.0, 400.0, 13.00, 031US, -0.00, 0.00
Ir, -963.51547035, Ir.us.z_31.ld1.psl.v1.0.0-high.upf, 90.0, 720.0, 31.00, 100US, 3.00, 3.03
K, -113.00839120, K.pbe-spn-kjpaw_psl.1.0.0.UPF, 60.0, 480.0, 9.00, 100PAW, -0.00, 0.00
Kr, -504.24775250, Kr.paw.z_18.ld1.psl.v1.0.0-high.upf, 200.0, 1200.0, 18.00, 100PAW, 0.00, 0.00
La, -458.03468673, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 11.00, Wentzcovitch, -1.01, 1.03
Li, -14.37694314, li_pbe_v1.4.uspp.F.UPF, 40.0, 320.0, 3.00, GBRV-1.4, -0.00, 0.00
Lr, -1562.27249399, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60.0, 480.0, 25.00, MalteSachs, -0.01, 0.01
Lu, -1079.91844823, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45.0, 360.0, 25.00, Wentzcovitch, 0.01, 0.01
Md, -1437.58506988, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60.0, 480.0, 23.00, MalteSachs, -0.54, 1.02
Mg, -125.24818581, mg_pbe_v1.4.uspp.F.UPF, 45.0, 360.0, 10.00, GBRV-1.4, 0.00, 0.00
Mn, -210.75455226, mn_pbe_v1.5.uspp.F.UPF, 90.0, 1080.0, 15.00, GBRV-1.5, -2.20, 2.87
Mo, -136.54734137, Mo_ONCV_PBE-1.0.oncvpsp.upf, 35.0, 140.0, 14.00, SG15, -0.00, 3.42
Na, -109.20561968, Na.paw.z_9.ld1.psl.v1.0.0-low.upf, 100.0, 800.0, 9.00, 100PAW-low, -0.00, 0.00
Nb, -333.71775738, Nb.pbe-spn-kjpaw_psl.0.3.0.UPF, 40.0, 320.0, 13.00, 031PAW, 1.46, 2.74
Nd, -537.16545476, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 14.00, Wentzcovitch, -0.00, 1.43
Ne, -82.02566820, Ne.paw.z_8.ld1.psl.v1.0.0-high.upf, 120.0, 720.0, 8.00, 100PAW, -0.00, 0.00
Ni, -342.91990650, ni_pbe_v1.4.uspp.F.UPF, 50.0, 400.0, 18.00, GBRV-1.4, -0.94, 1.44
N, -20.14167068, N.oncvpsp.upf, 80.0, 320.0, 5.00, Dojo, -0.00, 0.00
No, -1498.52453560, No.paw.z_24.ld1.uni-marburg.v0.upf, 60.0, 480.0, 24.00, MalteSachs, 0.00, 0.00
Np, -1062.69909720, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60.0, 480.0, 15.00, MalteSachs, 0.03, 2.35
O, -41.16362232, O.pbe-n-kjpaw_psl.0.1.UPF, 75.0, 600.0, 6.00, 031PAW, 0.00, 0.00
Os, -197.89620641, Os_pbe_v1.2.uspp.F.UPF, 40.0, 320.0, 16.00, GBRV-1.2, -0.79, 2.61
