Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.88133600, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.02, 0.02
Ag, -287.15918859, Ag_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 19.00, SG15, 0.00, 0.00
Al, -39.24161301, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30, 240, 3.00, 100PAW, -0.02, 0.05
Am, -1139.29330948, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 0.00, 0.01
Ar, -42.22353143, Ar_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 8.00, SG15-1.1, 0.00, 0.00
As, -17.87927214, As.pbe-n-rrkjus_psl.0.2.UPF, 35, 280, 5.00, 031US, 0.00, 0.00
At, -220.35377168, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, 0.00, 0.00
Au, -274.45482201, Au_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 19.00, SG15, 0.00, 0.00
Ba, -436.18045601, Ba.pbe-spn-kjpaw_psl.1.0.0.UPF, 30, 240, 10.00, 100PAW, -0.00, 0.00
Be, -27.98752122, be_pbe_v1.4.uspp.F.UPF, 40, 320, 4.00, GBRV-1.4, 0.00, 0.00
Bi, -184.99857944, Bi_pbe_v1.uspp.F.UPF, 45, 360, 15.00, GBRV-1.2, -0.00, 0.01
Bk, -1226.74562263, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, -0.00, 2.04
Br, -46.74357586, br_pbe_v1.4.uspp.F.UPF, 30, 240, 7.00, GBRV-1.4, 0.00, 0.00
B, -5.91870027, b_pbe_v1.4.uspp.F.UPF, 35, 280, 3.00, GBRV-1.4, 0.00, 0.00
C, -17.79373218, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45, 360, 4.00, 100PAW, -0.00, 0.00
Ca, -74.86965537, Ca_pbe_v1.uspp.F.UPF, 30, 240, 10.00, GBRV-1.2, -0.00, 0.00
Cd, -122.21247129, Cd.pbe-dn-rrkjus_psl.0.3.1.UPF, 60, 480, 12.00, 031US, -0.00, 0.00
Ce, -481.83010970, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, -0.30, 1.01
Cf, -1274.75417979, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, -0.19, 1.93
Cl, -33.17685734, cl_pbe_v1.4.uspp.F.UPF, 40, 320, 7.00, GBRV-1.4, 0.00, 0.00
Cm, -1181.63498218, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, 0.32, 2.42
Co, -298.13850937, Co_pbe_v1.2.uspp.F.UPF, 45, 360, 17.00, GBRV-1.2, 3.00, 3.00
Cr, -175.02949251, cr_pbe_v1.5.uspp.F.UPF, 40, 320, 14.00, GBRV-1.5, 2.02, 2.78
Cs, -63.09566395, Cs_pbe_v1.uspp.F.UPF, 30, 240, 9.00, GBRV-1.2, 0.00, 0.00
Cu, -212.84559781, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, 0.00, 0.00
Dy, -777.02952300, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -0.09, 0.98
Er, -885.78731102, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, 0.04, 0.51
Es, -1325.81590020, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, 0.09, 1.32
Eu, -642.10604765, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, -0.00, 0.78
Fe, -328.81531895, Fe.pbe-spn-kjpaw_psl.0.2.1.UPF, 90, 1080, 16.00, 031PAW, -0.28, 1.96
Fm, -1380.06067143, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 0.01, 0.62
Fr, -1071.68346226, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.00, 0.00
F, -48.34609145, f_pbe_v1.4.uspp.F.UPF, 45, 360, 7.00, GBRV-1.4, -0.00, 0.00
Ga, -277.72336067, Ga.pbe-dn-kjpaw_psl.1.0.0.UPF, 70, 560, 13.00, 100PAW, -0.01, 0.03
Gd, -683.53987743, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, 0.01, 0.76
Ge, -213.33556696, ge_pbe_v1.4.uspp.F.UPF, 40, 320, 14.00, GBRV-1.4, -0.00, 0.00
H, -0.93057548, H.pbe-rrkjus_psl.1.0.0.UPF, 60, 480, 1.00, 100US, -0.00, 0.00
He, -5.57586948, He_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 2.00, SG15, 0.00, 0.00
Hf, -112.38778241, Hf-sp.oncvpsp.upf, 50, 200, 12.00, Dojo, 0.00, 0.01
Hg, -310.13926788, Hg_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 20.00, SG15, -0.00, 0.00
Ho, -829.52802373, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, -3.05, 3.08
I, -378.81202719, I.pbe-n-kjpaw_psl.0.2.UPF, 35, 280, 7.00, 031PAW, -0.02, 0.02
In, -144.66410870, In.pbe-dn-rrkjus_psl.0.2.2.UPF, 50, 400, 13.00, 031US, 0.00, 0.00
Ir, -181.19748420, Ir_pbe_v1.2.uspp.F.UPF, 55, 440, 15.00, GBRV-1.2, -0.00, 0.02
K, -113.01685370, K.pbe-spn-kjpaw_psl.1.0.0.UPF, 60, 480, 9.00, 100PAW, -0.00, 0.00
Kr, -37.17781781, Kr_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 8.00, SG15, 0.00, 0.00
La, -458.04758913, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40, 320, 11.00, Wentzcovitch, -0.06, 0.91
Li, -14.38543360, li_pbe_v1.4.uspp.F.UPF, 40, 320, 3.00, GBRV-1.4, -0.08, 0.08
Lr, -1562.28634608, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60, 480, 25.00, MalteSachs, -0.02, 0.02
Lu, -1079.93230302, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45, 360, 25.00, Wentzcovitch, 0.00, 0.02
Md, -1437.59904321, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60, 480, 23.00, MalteSachs, 0.00, 0.02
Mg, -33.54073055, Mg.pbe-n-kjpaw_psl.0.3.0.UPF, 30, 240, 2.00, 031PAW, -0.00, 0.00
Mn, -210.73218431, mn_pbe_v1.5.uspp.F.UPF, 65, 780, 15.00, GBRV-1.5, 0.02, 2.10
Mo, -136.45024507, Mo_ONCV_PBE-1.0.oncvpsp.upf, 35, 140, 14.00, SG15, -0.00, 0.01
N, -19.60870165, N.pbe-n-radius_5.UPF, 60, 480, 5.00, THEOS, -0.00, 0.00
Na, -95.30864993, na_pbe_v1.5.uspp.F.UPF, 40, 320, 9.00, GBRV-1.5, 0.00, 0.00
Nb, -333.66227100, Nb.pbe-spn-kjpaw_psl.0.3.0.UPF, 40, 320, 13.00, 031PAW, -0.01, 0.01
Nd, -537.17411788, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40, 320, 14.00, Wentzcovitch, 0.12, 1.37
Ne, -60.81404625, Ne_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 8.00, SG15, -0.00, 0.00
Ni, -342.93179769, ni_pbe_v1.4.uspp.F.UPF, 45, 360, 18.00, GBRV-1.4, -0.63, 1.34
