Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.87234778, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40.0, 320.0, 11.00, 100US, -0.01, 0.01
Ag, -287.15359504, Ag_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 19.00, SG15, 0.00, 0.00
Al, -39.23934084, Al.pbe-n-kjpaw_psl.1.0.0.UPF, 30.0, 240.0, 3.00, 100PAW, -0.13, 0.74
Am, -1139.41562034, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60.0, 480.0, 17.00, MalteSachs, 1.00, 3.04
Ar, -95.08107672, Ar.paw.z_8.ld1.psl.v1.0.0-high.upf, 120.0, 960.0, 8.00, 100PAW, 0.00, 0.00
As, -211.79550350, As.nc.z_15.oncvpsp3.dojo.v4-std.upf, 75.0, 300.0, 15.00, Dojo, 0.00, 0.00
At, -220.34317400, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80.0, 640.0, 17.00, 100US, -0.00, 0.02
Au, -274.44949047, Au_ONCV_PBE-1.0.oncvpsp.upf, 50.0, 200.0, 19.00, SG15, -0.00, 0.00
Ba, -55.99583629, Ba.nc.z_10.oncvpsp4.dojo.v4-sp.upf, 35.0, 140.0, 10.00, Dojo, 0.00, 0.00
Be, -26.31824028, Be_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 4.00, SG15, 0.00, 0.00
Bi, -184.98179325, Bi_pbe_v1.uspp.F.UPF, 50.0, 400.0, 15.00, GBRV-1.2, 0.00, 0.01
Bk, -1226.73711841, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60.0, 480.0, 19.00, MalteSachs, 0.05, 2.19
B, -6.01557754, B_pbe_v1.01.uspp.F.UPF, 55.0, 440.0, 3.00, GBRV-1.2, -0.00, 0.00
Br, -46.73322027, br_pbe_v1.4.uspp.F.UPF, 90.0, 720.0, 7.00, GBRV-1.4, -0.01, 0.01
Ca, -74.86965589, Ca_pbe_v1.uspp.F.UPF, 30.0, 240.0, 10.00, GBRV-1.2, -0.00, 0.00
Cd, -606.12801040, Cd.paw.z_20.ld1.psl.v1.0.0-high.upf, 100.0, 800.0, 20.00, 100PAW, 0.00, 0.00
Ce, -481.84084264, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50.0, 400.0, 12.00, Wentzcovitch, -2.00, 2.27
Cf, -1274.74522279, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60.0, 480.0, 20.00, MalteSachs, 0.15, 1.81
Cl, -34.48055469, Cl.pbe-n-rrkjus_psl.1.0.0.UPF, 100.0, 800.0, 7.00, 100US, 0.00, 0.00
Cm, -1181.84146076, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60.0, 480.0, 18.00, MalteSachs, 6.38, 6.64
Co, -298.05858516, Co_pbe_v1.2.uspp.F.UPF, 90.0, 1080.0, 17.00, GBRV-1.2, -1.00, 1.87
C, -17.77830580, C.pbe-n-kjpaw_psl.1.0.0.UPF, 45.0, 360.0, 4.00, 100PAW, 0.00, 0.00
Cr, -318.35690737, cr_pbe_v1.5.uspp.F.UPF, 40.0, 320.0, 14.00, GBRV-1.5, -0.00, 0.00
Cs, -46.77780828, Cs.nc.z_9.oncvpsp3.dojo.v4-str.upf, 45.0, 180.0, 9.00, Dojo, -0.00, 0.00
Cu, -212.84940554, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90.0, 720.0, 11.00, 100PAW-low, -1.00, 1.08
Dy, -777.02900263, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 20.00, Wentzcovitch, 0.00, 1.00
Er, -885.78435441, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 22.00, Wentzcovitch, 0.00, 0.58
Es, -1325.80808602, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60.0, 480.0, 21.00, MalteSachs, -0.01, 1.50
Eu, -642.13765958, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 17.00, Wentzcovitch, -1.00, 1.53
Fe, -328.93879746, Fe.pbe-spn-kjpaw_psl.0.2.1.UPF, 90.0, 1080.0, 16.00, 031PAW, 4.00, 4.01
Fm, -1380.05158112, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60.0, 480.0, 22.00, MalteSachs, -0.00, 1.10
F, -49.02039160, F.oncvpsp.upf, 90.0, 360.0, 7.00, Dojo, 0.00, 0.00
Fr, -1071.67782047, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150.0, 1200.0, 19.00, 100PAW, 0.00, 0.00
Ga, -277.71285564, Ga.pbe-dn-kjpaw_psl.1.0.0.UPF, 90.0, 720.0, 13.00, 100PAW, -0.01, 0.01
Gd, -683.53953148, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 18.00, Wentzcovitch, -0.00, 0.77
Ge, -213.32031228, ge_pbe_v1.4.uspp.F.UPF, 45.0, 360.0, 14.00, GBRV-1.4, 0.00, 0.00
He, -5.57587041, He_ONCV_PBE-1.0.oncvpsp.upf, 55.0, 220.0, 2.00, SG15, 0.00, 0.00
Hf, -112.37609927, Hf-sp.oncvpsp.upf, 55.0, 220.0, 12.00, Dojo, 0.00, 0.02
Hg, -107.77845663, Hg.us.z_12.uspp.gbrv.v1.upf, 65.0, 390.0, 12.00, GBRV-v1.0, -0.00, 0.00
H, -0.92466795, H_ONCV_PBE-1.0.oncvpsp.upf, 80.0, 320.0, 1.00, SG15, -0.00, 0.00
Ho, -829.41563574, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 21.00, Wentzcovitch, -0.00, 0.73
I, -198.63013934, I.nc.z_17.oncvpsp4.sg15.v0.upf, 65.0, 260.0, 17.00, SG15, -0.00, 0.01
In, -144.65351015, In.pbe-dn-rrkjus_psl.0.2.2.UPF, 50.0, 400.0, 13.00, 031US, -0.00, 0.01
Ir, -963.47269369, Ir.us.z_31.ld1.psl.v1.0.0-high.upf, 90.0, 720.0, 31.00, 100US, -0.09, 2.08
K, -113.01121905, K.pbe-spn-kjpaw_psl.1.0.0.UPF, 60.0, 480.0, 9.00, 100PAW, 0.04, 0.04
Kr, -504.24775248, Kr.paw.z_18.ld1.psl.v1.0.0-high.upf, 200.0, 1200.0, 18.00, 100PAW, 0.00, 0.00
La, -458.04376921, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 11.00, Wentzcovitch, 0.64, 1.66
Li, -14.37976580, li_pbe_v1.4.uspp.F.UPF, 40.0, 320.0, 3.00, GBRV-1.4, 0.01, 0.01
Lr, -1562.27735809, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60.0, 480.0, 25.00, MalteSachs, 0.00, 0.01
Lu, -1079.92331015, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45.0, 360.0, 25.00, Wentzcovitch, -0.00, 0.01
Md, -1437.59048222, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60.0, 480.0, 23.00, MalteSachs, -0.95, 0.95
Mg, -125.24818581, mg_pbe_v1.4.uspp.F.UPF, 45.0, 360.0, 10.00, GBRV-1.4, -0.00, 0.00
Mn, -210.75791835, mn_pbe_v1.5.uspp.F.UPF, 90.0, 1080.0, 15.00, GBRV-1.5, 2.38, 2.91
Mo, -136.56786210, Mo_ONCV_PBE-1.0.oncvpsp.upf, 35.0, 140.0, 14.00, SG15, 2.03, 3.62
Na, -109.20844203, Na.paw.z_9.ld1.psl.v1.0.0-low.upf, 100.0, 800.0, 9.00, 100PAW-low, -0.02, 0.02
Nb, -333.70783890, Nb.pbe-spn-kjpaw_psl.0.3.0.UPF, 40.0, 320.0, 13.00, 031PAW, -0.29, 2.69
Nd, -537.17054557, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40.0, 320.0, 14.00, Wentzcovitch, -0.14, 1.39
Ne, -82.02566820, Ne.paw.z_8.ld1.psl.v1.0.0-high.upf, 120.0, 720.0, 8.00, 100PAW, 0.00, 0.00
Ni, -342.92371762, ni_pbe_v1.4.uspp.F.UPF, 50.0, 400.0, 18.00, GBRV-1.4, -0.83, 1.39
N, -20.15013398, N.oncvpsp.upf, 80.0, 320.0, 5.00, Dojo, 0.00, 0.00
No, -1498.52453505, No.paw.z_24.ld1.uni-marburg.v0.upf, 60.0, 480.0, 24.00, MalteSachs, 0.00, 0.00
Np, -1062.70487118, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60.0, 480.0, 15.00, MalteSachs, -0.24, 2.47
O, -41.17158149, O.pbe-n-kjpaw_psl.0.1.UPF, 75.0, 600.0, 6.00, 031PAW, 0.00, 0.00
Os, -197.99259918, Os_pbe_v1.2.uspp.F.UPF, 40.0, 320.0, 16.00, GBRV-1.2, -4.00, 4.08
Pa, -995.85956255, Pa.paw.z_13.ld1.uni-marburg.v0.upf, 60.0, 480.0, 13.00, MalteSachs, -3.00, 3.32
Pb, -870.28450494, Pb.pbe-dn-kjpaw_psl.0.2.2.UPF, 45.0, 360.0, 14.00, 031PAW, -0.00, 0.01
