Element, Total energy [Ry], filename, cutoff_wfc [Ry], cutoff_rho [Ry], valence_electrons, Type, tot_mag [Bohr mag/cell], abs_mag [Bohr mag/cell]
Ac, -93.86748845, Ac.us.z_11.ld1.psl.v1.0.0-high.upf, 40, 320, 11.00, 100US, 0.00, 0.02
Ag, -287.15072557, Ag_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 19.00, SG15, -0.00, 0.00
Am, -1139.44813275, Am.paw.z_17.ld1.uni-marburg.v0.upf, 60, 480, 17.00, MalteSachs, 2.94, 3.85
Ar, -42.22353143, Ar_ONCV_PBE-1.1.oncvpsp.upf, 60, 240, 8.00, SG15-1.1, 0.00, 0.00
At, -220.33689848, At.us.z_17.ld1.psl.v1.0.0-high.upf, 80, 640, 17.00, 100US, 0.00, 0.00
Au, -274.44635919, Au_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 19.00, SG15, -0.00, 0.00
Bk, -1226.73613489, Bk.paw.z_19.ld1.uni-marburg.v0.upf, 60, 480, 19.00, MalteSachs, 0.00, 2.12
Ce, -481.81922888, Ce.paw.z_12.atompaw.wentzcovitch.v1.2.upf, 50, 400, 12.00, Wentzcovitch, 0.05, 1.64
Cf, -1274.87018638, Cf.paw.z_20.ld1.uni-marburg.v0.upf, 60, 480, 20.00, MalteSachs, 4.00, 4.12
Cm, -1181.83930824, Cm.paw.z_18.ld1.uni-marburg.v0.upf, 60, 480, 18.00, MalteSachs, -6.31, 6.58
Cu, -212.83652732, Cu.paw.z_11.ld1.psl.v1.0.0-low.upf, 90, 720, 11.00, 100PAW-low, -0.00, 0.00
Dy, -777.18115787, Dy.paw.z_20.atompaw.wentzcovitch.v1.2.upf, 40, 320, 20.00, Wentzcovitch, -3.89, 4.02
Er, -885.78408876, Er.paw.z_22.atompaw.wentzcovitch.v1.2.upf, 40, 320, 22.00, Wentzcovitch, -0.00, 0.59
Es, -1325.89273908, Es.paw.z_21.ld1.uni-marburg.v0.upf, 60, 480, 21.00, MalteSachs, -3.00, 3.04
Eu, -642.49208913, Eu.paw.z_17.atompaw.wentzcovitch.v1.2.upf, 40, 320, 17.00, Wentzcovitch, -7.00, 7.08
Fm, -1380.07619020, Fm.paw.z_22.ld1.uni-marburg.v0.upf, 60, 480, 22.00, MalteSachs, 2.06, 2.06
Fr, -1071.67500136, Fr.paw.z_19.ld1.psl.v1.0.0-high.upf, 150, 1200, 19.00, 100PAW, 0.02, 0.02
Gd, -683.53276270, Gd.paw.z_18.atompaw.wentzcovitch.v1.2.upf, 40, 320, 18.00, Wentzcovitch, 0.00, 0.78
He, -5.57586948, He_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 2.00, SG15, 0.00, 0.00
Hf, -112.37018107, Hf-sp.oncvpsp.upf, 50, 200, 12.00, Dojo, 0.00, 0.01
Hg, -310.13926788, Hg_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 20.00, SG15, -0.00, 0.00
Ho, -829.52761724, Ho.paw.z_21.atompaw.wentzcovitch.v1.2.upf, 40, 320, 21.00, Wentzcovitch, -3.00, 3.05
Kr, -37.17781781, Kr_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 8.00, SG15, 0.00, 0.00
La, -458.04160778, La.paw.z_11.atompaw.wentzcovitch.v1.2.upf, 40, 320, 11.00, Wentzcovitch, -1.03, 1.84
Lr, -1562.27249491, Lr.paw.z_25.ld1.uni-marburg.v0.upf, 60, 480, 25.00, MalteSachs, 0.00, 0.01
Lu, -1079.93360008, Lu.paw.z_25.atompaw.wentzcovitch.v1.2.upf, 45, 360, 25.00, Wentzcovitch, 1.00, 1.30
Md, -1437.58507714, Md.paw.z_23.ld1.uni-marburg.v0.upf, 60, 480, 23.00, MalteSachs, 1.06, 1.06
Mo, -136.54741262, Mo_ONCV_PBE-1.0.oncvpsp.upf, 35, 140, 14.00, SG15, 0.00, 3.38
Nd, -537.16795651, Nd.paw.z_14.atompaw.wentzcovitch.v1.2.upf, 40, 320, 14.00, Wentzcovitch, -0.32, 1.50
Ne, -60.81404625, Ne_ONCV_PBE-1.0.oncvpsp.upf, 50, 200, 8.00, SG15, 0.00, 0.00
No, -1498.52453495, No.paw.z_24.ld1.uni-marburg.v0.upf, 60, 480, 24.00, MalteSachs, 0.00, 0.00
Np, -1062.82809716, Np.paw.z_15.ld1.uni-marburg.v0.upf, 60, 480, 15.00, MalteSachs, 5.00, 5.20
Pa, -995.82314921, Pa.paw.z_13.ld1.uni-marburg.v0.upf, 60, 480, 13.00, MalteSachs, 0.01, 2.16
Pd, -252.93701331, Pd_ONCV_PBE-1.0.oncvpsp.upf, 45, 180, 18.00, SG15, -0.03, 0.51
Pm, -569.06553614, Pm.paw.z_15.atompaw.wentzcovitch.v1.2.upf, 40, 320, 15.00, Wentzcovitch, -1.14, 1.69
Pr, -508.15325729, Pr.paw.z_13.atompaw.wentzcovitch.v1.2.upf, 40, 320, 13.00, Wentzcovitch, 0.83, 1.93
Pu, -1099.76395650, Pu.paw.z_16.ld1.uni-marburg.v0.upf, 60, 480, 16.00, MalteSachs, 0.60, 2.55
